town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Aydınköy,1164,563,601,1154,577,577,Güzelyurt,Güzelyurt,Güzelyurt,35.1704228,32.9381321,ChIJ8XZ5q1T43RQRzV60qnMopDY
Gayretköy,367,179,188,367,188,179,Güzelyurt,Güzelyurt,Güzelyurt,35.1693415,33.1098434,ChIJK62DccsA3hQRAGla_VKsatc
Güneşköy,505,252,253,546,277,269,Güzelyurt,Güzelyurt,Güzelyurt,35.1783861,32.9522179,ChIJwRmoGRv53RQRTTcfmvPxpBo
Kalkanlı,2305,1423,882,1338,811,527,Güzelyurt,Güzelyurt,Güzelyurt,35.2377309,33.0226174,ChIJQyuQ1iP93RQRg1qfNPTRskI
Mevlevi̇,386,207,179,370,217,153,Güzelyurt,Güzelyurt,Güzelyurt,35.2109599,33.0620193,ChIJ6WxWC5b93RQR_5--axMMlfw
Serhatköy,573,280,293,595,300,295,Güzelyurt,Güzelyurt,Güzelyurt,35.1905207,33.1126559,ChIJS4_MUl0H3hQRcIMqx8tFKPE
Şahi̇nler,189,89,100,179,82,97,Güzelyurt,Güzelyurt,Güzelyurt,35.1797005,33.0760876,ChIJcbZPcfb93RQRkUJAV1mCgxU
Yayla,850,424,426,775,390,385,Güzelyurt,Güzelyurt,Güzelyurt,35.2194604,32.9381321,ChIJMfmr19L73RQRh0aCJUR2yxg
Yukarı Bostancı,1495,788,707,1419,746,673,Güzelyurt,Güzelyurt,Güzelyurt,35.1386371,32.9860159,ChIJMyeRpuj-3RQRDNZiowoWvBo
Yuvacık,214,113,101,214,112,102,Güzelyurt,Güzelyurt,Güzelyurt,35.2116477,33.0198024,ChIJby8zJkT83RQRld-NRrT-uYE
Zümrütköy,817,389,428,921,457,464,Güzelyurt,Güzelyurt,Güzelyurt,35.1750763,33.0592054,ChIJCb4haHH-3RQRGM3vjRR4u1E
Lefke,3009,1600,1409,2908,1571,1337,Güzelyurt,Lefke,Lefke,35.0965045,32.8422959,ChIJJcwU6qVZ5xQRkcCTmSDRNms
Bademli̇köy,93,47,46,106,53,53,Güzelyurt,Lefke,Lefke,35.1565604,32.7576589,ChIJgSNU9gdf5xQRiKQhw6eXsLo
Bağlıköy,200,99,101,222,100,122,Güzelyurt,Lefke,Lefke,35.1198031,32.8140914,ChIJufDGSspe5xQRti6m1cYJ7cY
Cengi̇zköy,217,106,111,180,97,83,Güzelyurt,Lefke,Lefke,35.1355653,32.8592148,ChIJQezCzERY5xQRDAbxW8MZjdE
Çamlıköy,170,79,91,255,124,131,Güzelyurt,Lefke,Lefke,35.1140935,32.8733117,ChIJAzmtTDVY5xQRUIkSXcYjHX8
Deni̇zli̇,460,238,222,573,313,260,Güzelyurt,Lefke,Lefke,35.1471499,32.8498745,ChIJW2dQ9YxY5xQR7UjsWMVoXM0
Doğancı,1299,662,637,1291,654,637,Güzelyurt,Lefke,Lefke,35.1380434,32.9155906,ChIJe0vMruVX5xQRdlKV_XZjxnU
Gazi̇veren,1042,518,524,1002,508,494,Güzelyurt,Lefke,Lefke,35.1674849,32.9155906,ChIJEXCaWzf43RQR7zTW95TGTfo
Taşpınar,181,92,89,212,115,97,Güzelyurt,Lefke,Lefke,35.1179217,32.9494009,ChIJSytdCzRW5xQRJUyZzLdv1n4
Yedi̇dalga,669,329,340,767,397,370,Güzelyurt,Lefke,Lefke,35.144474,32.8056285,ChIJcb1P3tJY5xQRmfZXUDXRy0s
Yeşi̇lırmak,458,227,231,410,210,200,Güzelyurt,Lefke,Lefke,35.1667086,32.732254,ChIJ7fWEp8df5xQR6HUUmDmX6gk
Yeşi̇lyurt,1218,637,581,1278,701,577,Güzelyurt,Lefke,Lefke,35.1483418,32.8817689,ChIJpSgobwpY5xQRwtSdyBiNSQU
Ağıllar,188,91,97,176,87,89,İskele,İskele,İskele,35.3480408,33.8132141,ChIJUSNwLkyt3xQRSomsft-WRec
Altınova,229,115,114,250,115,135,İskele,İskele,İskele,35.3153248,33.824381,ChIJY7u8o6Oy3xQRg_sVkgyCKqo
Ardahan,330,170,160,350,178,172,İskele,İskele,İskele,35.3555716,33.8969328,ChIJK0xTfYKu3xQRkpKVIOf3KIA
Aygün,414,209,205,380,187,193,İskele,İskele,İskele,35.2587458,33.8801952,ChIJz0sKlpSz3xQRfqCrh0TGdtE
Boğaz,157,86,71,295,186,109,İskele,İskele,İskele,35.1968015,33.8913539,ChIJX5JkU8213xQRzoBtqIJxpqA
Boğazi̇çi̇,514,252,262,475,234,241,İskele,İskele,İskele,35.1968015,33.8913539,ChIJX5JkU8213xQRzoBtqIJxpqA
Boğaztepe,312,151,161,444,280,164,İskele,İskele,İskele,35.3169997,33.9457337,ChIJpZeEvrmv3xQRkQn98z8idbo
Ergazi̇,202,94,108,207,92,115,İskele,İskele,İskele,35.3771934,33.9359756,ChIJQ1UAPi-v3xQR1V4TY1l3_68
Kaleci̇k,435,225,210,308,171,137,İskele,İskele,İskele,35.3338704,33.9805756,ChIJ8Ue0K8Ol3xQRBAocAhcv6Ys
Kurtuluş,106,55,51,86,44,42,İskele,İskele,İskele,35.3522187,33.9610657,ChIJh8Yz8E-v3xQRvTvUBpX0qFs
Kuzucuk,344,183,161,283,149,134,İskele,İskele,İskele,35.2366033,33.8578735,ChIJ_ZP9CnS03xQRzYR6mME076Y
Ötüken,550,267,283,386,192,194,İskele,İskele,İskele,35.2359621,33.882985,ChIJ57M9VAi03xQRtd2YBqUErx4
Sınırüstü,186,99,87,154,85,69,İskele,İskele,İskele,35.2852727,33.8578735,ChIJJwpkVKWz3xQRkigOcbpOlh8
Topçuköy,310,150,160,336,169,167,İskele,İskele,İskele,35.3339151,33.8578735,ChIJffxtwMSt3xQRk3m4vey4iDQ
Turnalar,142,75,67,134,72,62,İskele,İskele,İskele,35.3515836,33.9248222,ChIJSzXsUtyu3xQR1VXj5GR6kdU
Yarköy,429,208,221,348,177,171,İskele,İskele,İskele,35.3286036,33.9359756,ChIJrdCyc1Ou3xQRxHhmQxG1Cfk
Büyükkonuk,812,435,377,775,399,376,İskele,Mehmetçik,Büyükkonuk,35.4243568,33.986149,ChIJNXgAoeqn3xQRQyZwR32q9Bc
Kaplıca,389,197,192,408,205,203,İskele,Mehmetçik,Büyükkonuk,35.4134201,33.9136675,ChIJfR7-IQip3xQRY1J_oXkCTf4
Ki̇li̇tkaya,172,82,90,177,87,90,İskele,Mehmetçik,Büyükkonuk,35.3895332,33.9582783,ChIJKaLbloGo3xQRiI0jnDWioi0
Mersi̇nli̇k,158,80,78,169,87,82,İskele,Mehmetçik,Büyükkonuk,35.3922503,33.8578735,ChIJj1VTB3as3xQRMg9DvvjtqCs
Sazlıköy,44,23,21,96,46,50,İskele,Mehmetçik,Büyükkonuk,35.3938178,34.036295,ChIJTeADeQyn3xQRXkzFnnGoJEk
Tuzluca,389,216,173,334,165,169,İskele,Mehmetçik,Büyükkonuk,35.3594694,33.9917222,ChIJEW9CzxKm3xQRo5ptbTi1y_0
